Ticker,Date,Instrument,Total Debt,Total Assets,Leverage
ESSITYb.ST,2023-12-31,ESSITYb.ST,66592000000,210600000000.0,0.31620132953466284
ESSITYb.ST,2024-03-31,ESSITYb.ST,55875000000,202993000000.0,0.275255796997926
ESSITYb.ST,2024-06-30,ESSITYb.ST,55875000000,202993000000.0,0.275255796997926
ESSITYb.ST,2024-09-30,ESSITYb.ST,55875000000,202993000000.0,0.275255796997926
ESSITYb.ST,2024-12-31,ESSITYb.ST,55875000000,202993000000.0,0.275255796997926
HNKG_p.DE,2022-03-31,HNKG_p.DE,2838000000,32674000000.0,0.08685805227397932
HNKG_p.DE,2022-06-30,HNKG_p.DE,2838000000,32674000000.0,0.08685805227397932
HNKG_p.DE,2022-09-30,HNKG_p.DE,2838000000,32674000000.0,0.08685805227397932
HNKG_p.DE,2022-12-31,HNKG_p.DE,2838000000,32674000000.0,0.08685805227397932
HNKG_p.DE,2023-03-31,HNKG_p.DE,3587000000,33170000000.0,0.10813988543864939
HNKG_p.DE,2023-06-30,HNKG_p.DE,3587000000,33170000000.0,0.10813988543864939
HNKG_p.DE,2023-09-30,HNKG_p.DE,3587000000,33170000000.0,0.10813988543864939
HNKG_p.DE,2023-12-31,HNKG_p.DE,3587000000,33170000000.0,0.10813988543864939
HNKG_p.DE,2024-03-31,HNKG_p.DE,2892000000,31728000000.0,0.09114977307110439
HNKG_p.DE,2024-06-30,HNKG_p.DE,2892000000,31728000000.0,0.09114977307110439
HNKG_p.DE,2024-09-30,HNKG_p.DE,2892000000,31728000000.0,0.09114977307110439
HNKG_p.DE,2024-12-31,HNKG_p.DE,2892000000,31728000000.0,0.09114977307110439
BEIG.DE,2022-03-31,BEIG.DE,134000000,11299000000.0,0.011859456589078679
BEIG.DE,2022-06-30,BEIG.DE,134000000,11299000000.0,0.011859456589078679
BEIG.DE,2022-09-30,BEIG.DE,134000000,11299000000.0,0.011859456589078679
BEIG.DE,2022-12-31,BEIG.DE,134000000,11299000000.0,0.011859456589078679
BEIG.DE,2023-03-31,BEIG.DE,127000000,12348000000.0,0.010285066407515387
BEIG.DE,2023-06-30,BEIG.DE,127000000,12348000000.0,0.010285066407515387
BEIG.DE,2023-09-30,BEIG.DE,127000000,12348000000.0,0.010285066407515387
BEIG.DE,2023-12-31,BEIG.DE,127000000,12348000000.0,0.010285066407515387
BEIG.DE,2024-03-31,BEIG.DE,168000000,12629000000.0,0.013302715971177449
BEIG.DE,2024-06-30,BEIG.DE,168000000,12629000000.0,0.013302715971177449
BEIG.DE,2024-09-30,BEIG.DE,168000000,12629000000.0,0.013302715971177449
BEIG.DE,2024-12-31,BEIG.DE,168000000,12629000000.0,0.013302715971177449
LISN.S,2022-03-31,LISN.S,1482200000,8956100000.0,0.16549614229407889
LISN.S,2022-06-30,LISN.S,1482200000,8956100000.0,0.16549614229407889
LISN.S,2022-09-30,LISN.S,1482200000,8956100000.0,0.16549614229407889
LISN.S,2022-12-31,LISN.S,1482200000,8956100000.0,0.16549614229407889
LISN.S,2023-03-31,LISN.S,1436200000,7945100000.0,0.18076550326616406
LISN.S,2023-06-30,LISN.S,1436200000,7945100000.0,0.18076550326616406
LISN.S,2023-09-30,LISN.S,1436200000,7945100000.0,0.18076550326616406
LISN.S,2023-12-31,LISN.S,1436200000,7945100000.0,0.18076550326616406
LISN.S,2024-03-31,LISN.S,1405800000,7860000000.0,0.17885496183206107
LISN.S,2024-06-30,LISN.S,1405800000,7860000000.0,0.17885496183206107
LISN.S,2024-09-30,LISN.S,1405800000,7860000000.0,0.17885496183206107
LISN.S,2024-12-31,LISN.S,1405800000,7860000000.0,0.17885496183206107
LISP.S,2022-03-31,LISP.S,1482200000,8956100000.0,0.16549614229407889
LISP.S,2022-06-30,LISP.S,1482200000,8956100000.0,0.16549614229407889
LISP.S,2022-09-30,LISP.S,1482200000,8956100000.0,0.16549614229407889
LISP.S,2022-12-31,LISP.S,1482200000,8956100000.0,0.16549614229407889
LISP.S,2023-03-31,LISP.S,1436200000,7945100000.0,0.18076550326616406
LISP.S,2023-06-30,LISP.S,1436200000,7945100000.0,0.18076550326616406
LISP.S,2023-09-30,LISP.S,1436200000,7945100000.0,0.18076550326616406
LISP.S,2023-12-31,LISP.S,1436200000,7945100000.0,0.18076550326616406
LISP.S,2024-03-31,LISP.S,1405800000,7860000000.0,0.17885496183206107
LISP.S,2024-06-30,LISP.S,1405800000,7860000000.0,0.17885496183206107
LISP.S,2024-09-30,LISP.S,1405800000,7860000000.0,0.17885496183206107
LISP.S,2024-12-31,LISP.S,1405800000,7860000000.0,0.17885496183206107
CARLb.CO,2022-03-31,CARLb.CO,28922000000,126383000000.0,0.22884406921817016
CARLb.CO,2022-06-30,CARLb.CO,28922000000,126383000000.0,0.22884406921817016
CARLb.CO,2022-09-30,CARLb.CO,28922000000,126383000000.0,0.22884406921817016
CARLb.CO,2022-12-31,CARLb.CO,28922000000,126383000000.0,0.22884406921817016
CARLb.CO,2023-03-31,CARLb.CO,28646000000,115341000000.0,0.24835921311589115
CARLb.CO,2023-06-30,CARLb.CO,28646000000,115341000000.0,0.24835921311589115
CARLb.CO,2023-09-30,CARLb.CO,28646000000,115341000000.0,0.24835921311589115
CARLb.CO,2023-12-31,CARLb.CO,28646000000,115341000000.0,0.24835921311589115
CARLb.CO,2024-03-31,CARLb.CO,39101000000,111831000000.0,0.3496436587350556
CARLb.CO,2024-06-30,CARLb.CO,39101000000,111831000000.0,0.3496436587350556
CARLb.CO,2024-09-30,CARLb.CO,39101000000,111831000000.0,0.3496436587350556
CARLb.CO,2024-12-31,CARLb.CO,39101000000,111831000000.0,0.3496436587350556
HEIO.AS,2022-03-31,HEIO.AS,16873000000,48850000000.0,0.3454042988741044
HEIO.AS,2022-06-30,HEIO.AS,16873000000,48850000000.0,0.3454042988741044
HEIO.AS,2022-09-30,HEIO.AS,16873000000,48850000000.0,0.3454042988741044
HEIO.AS,2022-12-31,HEIO.AS,16873000000,48850000000.0,0.3454042988741044
HEIO.AS,2023-03-31,HEIO.AS,16377000000,52406000000.0,0.31250238522306606
HEIO.AS,2023-06-30,HEIO.AS,16377000000,52406000000.0,0.31250238522306606
HEIO.AS,2023-09-30,HEIO.AS,16377000000,52406000000.0,0.31250238522306606
HEIO.AS,2023-12-31,HEIO.AS,16377000000,52406000000.0,0.31250238522306606
HEIO.AS,2024-03-31,HEIO.AS,18238000000,54758000000.0,0.33306548814785053
HEIO.AS,2024-06-30,HEIO.AS,18238000000,54758000000.0,0.33306548814785053
HEIO.AS,2024-09-30,HEIO.AS,18238000000,54758000000.0,0.33306548814785053
HEIO.AS,2024-12-31,HEIO.AS,18238000000,54758000000.0,0.33306548814785053
MOWI.OL,2022-03-31,MOWI.OL,1877300000,6259500000.0,0.29991213355699337
