Instrument,Price To Book Value Per Share (Daily Time Series Ratio),Date
BATS.L,1.173145811,2022-05-22
BATS.L,1.214182831,2022-05-29
BATS.L,1.209395179,2022-06-05
BATS.L,1.194519259,2022-06-12
BATS.L,1.1746847,2022-06-19
BATS.L,1.207343328,2022-06-26
BATS.L,1.209053204,2022-07-03
BATS.L,1.156901991,2022-07-10
BATS.L,1.187166793,2022-07-17
BATS.L,1.16972606,2022-07-24
BATS.L,0.985959632,2022-07-31
BATS.L,0.997134147,2022-08-07
BATS.L,1.017646271,2022-08-14
BATS.L,1.060966652,2022-08-21
BATS.L,1.060048199,2022-08-28
BATS.L,1.059435897,2022-09-04
BATS.L,1.068161203,2022-09-11
BATS.L,1.056374385,2022-09-18
BATS.L,1.036780715,2022-09-25
BATS.L,0.987796538,2022-10-02
BATS.L,1.014431684,2022-10-09
BATS.L,1.004634849,2022-10-16
BATS.L,1.016727817,2022-10-23
BATS.L,1.045352946,2022-10-30
BATS.L,1.033719204,2022-11-06
BATS.L,0.97570357,2022-11-13
BATS.L,1.013666306,2022-11-20
BATS.L,1.027290031,2022-11-27
BATS.L,1.043362964,2022-12-04
BATS.L,1.015197062,2022-12-11
BATS.L,1.008308662,2022-12-18
BATS.L,1.015350138,2022-12-25
BATS.L,1.004634849,2023-01-01
BATS.L,1.023616217,2023-01-08
BATS.L,0.95641605,2023-01-15
BATS.L,0.955650672,2023-01-22
BATS.L,0.929627828,2023-01-29
BATS.L,0.956875277,2023-02-05
BATS.L,0.932230113,2023-02-12
BATS.L,0.968049792,2023-02-19
BATS.L,0.984735027,2023-02-26
BATS.L,0.962539072,2023-03-05
BATS.L,0.923650969,2023-03-12
BATS.L,0.874702066,2023-03-19
BATS.L,0.852007574,2023-03-26
BATS.L,0.842662784,2023-04-02
BATS.L,0.841921133,2023-04-09
BATS.L,0.841031153,2023-04-16
BATS.L,0.866543915,2023-04-23
BATS.L,0.868323875,2023-04-30
BATS.L,0.831834693,2023-05-07
BATS.L,0.803651991,2023-05-14
BATS.L,0.79104394,2023-05-21
BATS.L,0.79208225,2023-05-28
BATS.L,0.762564578,2023-06-04
BATS.L,0.768497779,2023-06-11
BATS.L,0.765531179,2023-06-18
BATS.L,0.778732549,2023-06-25
BATS.L,0.773689329,2023-07-02
BATS.L,0.763602888,2023-07-09
BATS.L,0.748769888,2023-07-16
BATS.L,0.78614905,2023-07-23
BATS.L,0.818629643,2023-07-30
BATS.L,0.792491648,2023-08-06
BATS.L,0.786150477,2023-08-13
BATS.L,0.781046608,2023-08-20
BATS.L,0.800843433,2023-08-27
