,date,volume,company,Company No
460,2021-01-31,9362,sectra_ab_publ,461
461,2021-01-31,38002,securitas,462
462,2021-01-31,18053,segro,463
463,2021-01-31,10256,serco_group_plc,464
464,2021-01-31,55968,ses,465
465,2021-01-31,24213,severn_trent,466
466,2021-01-31,48775,sgs,467
467,2021-01-31,7611,siegfried,468
468,2021-01-31,813305,siemens,469
469,2021-01-31,273013,siemens_energy,470
470,2021-01-31,288242,siemens_healthineers,471
471,2021-01-31,10905,sig_combibloc_group_ag,472
472,2021-01-31,114738,sika,473
473,2021-01-31,9347,simcorp_otc,474
474,2021-01-31,48764,skandinaviska_enskilda_banken,475
475,2021-01-31,40802,skanska,476
476,2021-01-31,30224,skf,477
477,2021-01-31,40858,smiths,478
478,2021-01-31,49471,smurfit_kappa,479
479,2021-01-31,17943,snam,480
480,2021-01-31,394895,societe_generale,481
481,2021-01-31,19925,sodexo,482
482,2021-01-31,3292,sofina,483
483,2021-01-31,8584,softcat_plc,484
484,2021-01-31,7849,soitec,485
485,2021-01-31,146199,solvay,486
486,2021-01-31,43443,sonova,487
487,2021-01-31,18305,sopra_steria_group,488
488,2021-01-31,11389,spectris,489
489,2021-01-31,2875,spie_sa,490
490,2021-01-31,20550,spirax_sarco,491
491,2021-01-31,15682,ssab_b,492
492,2021-01-31,11600,st_james_s_place,493
493,2021-01-31,267885,standard_chartered,494
494,2021-01-31,184871,statoil,495
495,2021-01-31,473854,stellantis_nv,496
496,2021-01-31,152300,stmicroelectronics,497
497,2021-01-31,39450,stora_enso,498
498,2021-01-31,5303,storebrand,499
499,2021-01-31,39043,straumann,500
500,2021-01-31,17674,subsea_7,501
501,2021-01-31,13260,svenska_cellulosa,502
502,2021-01-31,25488,svenska_handelsbanken,503
503,2021-01-31,64145,swatch,504
504,2021-01-31,7705,sweco_ab,505
505,2021-01-31,30747,swedbank,506
506,2021-01-31,27909,swedish_orphan_biovitrum,507
507,2021-01-31,38942,swiss_life,508
508,2021-01-31,9655,swiss_prime,509
509,2021-01-31,125111,swiss_re,510
510,2021-01-31,39635,swisscom,511
511,2021-01-31,47029,symrise,512
512,2021-01-31,24048,talanx,513
513,2021-01-31,47247,tate_lyle,514
514,2021-01-31,25903,taylor_wimpey,515
515,2021-01-31,15696,tecan,516
516,2021-01-31,13959,tele2,517
517,2021-01-31,71999,telecom_italia,518
518,2021-01-31,341429,telefonaktiebolaget_lm_ericsson,519
519,2021-01-31,76188,telefonica,520
520,2021-01-31,45328,telefonica_deutschland,521
521,2021-01-31,51706,telenor,522
522,2021-01-31,34751,teleperformance,523
523,2021-01-31,6203,telia,524
524,2021-01-31,34068,temenos,525
525,2021-01-31,16000,tenaris,526
526,2021-01-31,12065,terna_rete_elettrica_nazionale,527
527,2021-01-31,211949,tesco,528
528,2021-01-31,77035,thales,529
529,2021-01-31,2888,the_berkeley_group_holdings_plc,530
530,2021-01-31,4530,thule_group_ab,531
531,2021-01-31,136272,thyssenkrupp,532
532,2021-01-31,9126,tieto_oyj,533
533,2021-01-31,18018,tomra_systems_asa,534
534,2021-01-31,4417,topdanmark,535
535,2021-01-31,250968,total,536
536,2021-01-31,16750,travis_perkins,537
537,2021-01-31,12657,trelleborg,538
538,2021-01-31,3835,tritax_big_box_reit_plc,539
539,2021-01-31,6130,tryg,540
540,2021-01-31,219191,tui,541
541,2021-01-31,208263,ubisoft,542
542,2021-01-31,2186456,ubs,543
543,2021-01-31,49025,ucb,544
544,2021-01-31,18886,umicore,545
545,2021-01-31,36407,unibail_rodamco_westfield,546
546,2021-01-31,34006,unibet,547
547,2021-01-31,136352,unicredit,548
548,2021-01-31,215515,unilever,549
549,2021-01-31,9774,unite_group_plc,550
550,2021-01-31,55864,united_internet,551
551,2021-01-31,29035,united_utilities,552
552,2021-01-31,160282,universal_music_group,553
553,2021-01-31,23343,upm_kymmene,554
554,2021-01-31,82224,valeo,555
555,2021-01-31,10456,valmet_oyj,556
556,2021-01-31,35610,vantage_towers_ag,557
557,2021-01-31,20489,vat,558
558,2021-01-31,90092,veolia_environnement,559
559,2021-01-31,4427,verallia_sa,560
560,2021-01-31,20948,verbund_ag,561
561,2021-01-31,86737,vestas_wind_systems,562
562,2021-01-31,8576,victrex,563
563,2021-01-31,34255,vinci,564
564,2021-01-31,1749,viscofan,565
565,2021-01-31,90731,vivendi,566
566,2021-01-31,456482,vodafone,567
567,2021-01-31,24191,voestalpine,568
568,2021-01-31,2058121,volkswagen,569
569,2021-01-31,672386,volvo,570
570,2021-01-31,226425,vonovia,571
571,2021-01-31,36830,waadtlaendische_kantonalbank,572
572,2021-01-31,94428,wacker_chemie,573
573,2021-01-31,1319,wallenstam_b,574
574,2021-01-31,737,warehouses_de_pauw_sca,575
575,2021-01-31,42937,wartsila,576
576,2021-01-31,8223,watches_of_switzerland_group_plc,577
577,2021-01-31,25531,weir,578
578,2021-01-31,11313,wendel,579
579,2021-01-31,15577,whitbread,580
580,2021-01-31,15074,wienerberger,581
581,2021-01-31,1591,wihlborgs_fastigheter,582
582,2021-01-31,7764,william_demant,583
583,2021-01-31,14752,wise_plc,584
584,2021-01-31,89015,wolters_kluwer,585
585,2021-01-31,9841,worldline_sa,586
586,2021-01-31,65210,wpp,587
587,2021-01-31,43277,yara_international,588
588,2021-01-31,181415,zalando,589
589,2021-01-31,115524,zurich_insurance,590
